"date","close","volume","open","high","low"
"2015/11/25","56.2200","4622353.0000","57.0800","57.2100","55.9300"
"2015/11/24","56.8000","7247529.0000","57.0900","57.2400","56.0700"
"2015/11/23","58.5600","2607020.0000","58.8500","59.2300","58.3400"
"2015/11/20","58.8100","3553962.0000","58.4900","59.2900","58.3600"
"2015/11/19","58.5000","3475605.0000","58.0900","59.3000","57.8000"
"2015/11/18","57.7100","4658813.0000","57.4900","58.2600","56.5100"
"2015/11/17","57.3800","4412762.0000","58.3000","59.2900","57.0200"
"2015/11/16","58.0800","6031700.0000","57.3700","58.2100","57.0600"
"2015/11/13","58.8000","3069008.0000","59.1000","59.5700","58.4400"
"2015/11/12","59.2500","2703335.0000","59.0000","60.1100","59.0000"
"2015/11/11","59.6400","2248392.0000","60.2600","60.4400","59.5800"
"2015/11/10","60.0600","2659654.0000","60.1800","60.8500","59.0300"
"2015/11/09","60.1500","3469607.0000","61.1600","61.4200","59.6700"
"2015/11/06","61.4900","6540712.0000","60.1800","61.7500","60.0200"
"2015/11/05","60.3000","4623518.0000","60.5100","60.9800","60.1850"
"2015/11/04","60.2900","6036173.0000","60.5400","60.9300","59.6900"
"2015/11/03","60.8400","4883349.0000","61.0000","61.3400","60.0100"
"2015/11/02","60.6000","4011960.0000","60.6100","61.2900","60.4400"
"2015/10/30","60.3100","5520397.0000","60.0700","61.8700","59.9700"
"2015/10/29","60.2500","4301864.0000","59.1300","60.7200","58.6000"
"2015/10/28","59.5500","5822899.0000","60.8500","60.9700","58.7000"
"2015/10/27","60.9400","5981591.0000","60.7200","61.8000","60.4736"
"2015/10/26","61.0200","6016832.0000","59.4200","61.2000","59.1501"
"2015/10/23","59.6800","12308610.0000","57.1900","59.8000","57.1800"
"2015/10/22","56.0500","7526388.0000","55.0900","56.4400","54.1410"
"2015/10/21","54.5500","7458239.0000","55.6500","55.8500","54.2000"
"2015/10/20","55.7500","7306260.0000","56.8500","57.0700","55.4500"
"2015/10/19","56.7500","6564169.0000","55.9000","57.0100","55.8400"
"2015/10/16","55.9700","14541310.0000","57.8900","57.9800","55.0500"
"2015/10/15","57.7600","4181829.0000","57.7900","58.0800","56.7200"
"2015/10/14","57.5100","5907446.0000","57.8700","58.7500","56.4000"
"2015/10/13","57.3000","6222984.0000","57.1200","57.7600","56.4300"
"2015/10/12","57.8000","6113623.0000","56.1000","58.0400","55.9000"
"2015/10/09","55.7100","11375400.0000","53.9200","56.1000","53.4200"
"2015/10/08","52.2600","5006758.0000","51.2500","52.4300","50.5000"
"2015/10/07","51.5800","7080466.0000","51.0400","51.6500","49.7600"
"2015/10/06","50.7800","7744548.0000","53.2400","53.5500","50.5200"
"2015/10/05","53.3300","5816810.0000","52.0300","53.6300","51.6500"
"2015/10/02","51.7600","6714798.0000","52.3400","52.3800","50.9505"
"2015/10/01","53.0000","5931050.0000","52.9500","53.1700","52.0000"
"2015/09/30","53.0500","6347009.0000","52.8800","53.4776","52.2400"
"2015/09/29","52.4600","6262639.0000","53.8300","54.0250","52.1100"
"2015/09/28","53.7200","5522181.0000","55.2100","55.2400","53.0400"
"2015/09/25","55.4200","6322843.0000","56.9900","56.9900","54.9500"
"2015/09/24","56.3300","5748851.0000","57.5800","57.6600","55.7700"
"2015/09/23","58.1700","4215477.0000","58.5200","58.8900","57.2900"
"2015/09/22","58.2400","5477114.0000","59.9500","60.2200","58.0100"
"2015/09/21","60.4500","5240055.0000","60.3600","61.2400","59.5900"
"2015/09/18","60.3100","7125600.0000","60.8400","61.3500","60.0300"
"2015/09/17","61.5600","16268810.0000","58.1900","62.2100","58.0800"
"2015/09/16","57.9500","5151770.0000","57.0300","57.9900","56.7600"
"2015/09/15","57.2800","5310010.0000","57.4900","57.7000","56.8500"
"2015/09/14","57.4500","4652076.0000","56.8900","57.4600","56.4200"
"2015/09/11","56.8300","4027102.0000","56.7700","57.4700","56.3400"
"2015/09/10","56.9000","6500775.0000","57.9600","58.3600","56.6000"
"2015/09/09","57.6700","9040968.0000","57.0000","58.9300","56.8700"
"2015/09/08","57.5100","7075190.0000","57.7400","58.0050","56.9100"
"2015/09/04","56.6900","6099658.0000","56.8000","57.7000","56.3100"
"2015/09/03","57.2500","9954618.0000","57.5300","58.1400","57.0450"
"2015/09/02","57.2900","67814560.0000","57.8900","58.0900","56.7200"
"2015/09/01","57.1300","12667820.0000","56.0100","57.3800","55.8000"
"2015/08/31","56.9700","10556930.0000","57.1800","58.0400","56.8800"
"2015/08/28","57.1200","19988840.0000","56.5200","57.3500","55.7800"
"2015/08/27","53.3600","5702900.0000","54.3800","54.7300","52.3300"
"2015/08/26","53.9500","4990405.0000","53.3700","54.2200","51.6200"
"2015/08/25","52.1000","4588744.0000","54.3700","54.9400","52.1000"
"2015/08/24","52.3300","7089234.0000","50.7600","54.9800","49.2000"
"2015/08/21","55.0900","6280949.0000","55.9200","56.6750","54.9600"
"2015/08/20","56.5900","4128392.0000","57.5900","57.6600","56.5200"
"2015/08/19","58.2300","3824766.0000","58.2600","59.0300","57.8700"
"2015/08/18","58.5100","3833805.0000","59.4500","60.1200","58.1100"
"2015/08/17","59.6000","3864960.0000","58.4900","59.9321","58.0000"
"2015/08/14","58.5300","2391773.0000","57.9700","58.8600","57.8460"
"2015/08/13","58.3500","3319189.0000","57.6500","58.5900","57.1800"
"2015/08/12","57.4100","4825855.0000","57.6000","57.7400","55.0700"
"2015/08/11","57.8700","4419842.0000","57.2200","59.1400","57.2200"
"2015/08/10","57.1500","3073765.0000","57.4200","58.0100","56.9000"
"2015/08/07","56.7400","3489900.0000","57.2500","57.6300","56.6100"
"2015/08/06","57.5100","3748941.0000","58.4100","58.9600","56.9500"
"2015/08/05","58.1100","4580203.0000","59.4100","59.5000","58.0500"
"2015/08/04","58.9500","4784275.0000","59.1900","59.8500","58.2100"
"2015/08/03","58.3200","5239282.0000","56.8600","58.8900","56.6900"
"2015/07/31","56.3900","3470280.0000","56.6600","56.9000","56.3600"
"2015/07/30","56.8400","3153719.0000","57.0900","57.3100","56.5500"
"2015/07/29","57.2100","4746274.0000","58.1000","58.4200","56.8000"
"2015/07/28","58.4200","6206320.0000","57.0800","58.9100","56.7500"
"2015/07/27","56.8100","5798927.0000","56.0500","57.2400","55.2500"
"2015/07/24","56.4900","9156967.0000","57.7800","58.5000","56.4400"
"2015/07/23","56.6700","10247730.0000","58.7200","60.0000","56.1600"
"2015/07/22","57.0700","9275422.0000","55.8100","57.4100","55.7900"
"2015/07/21","55.9700","4023815.0000","55.2000","56.3000","55.2000"
"2015/07/20","55.3500","3425435.0000","55.6900","56.1000","54.8100"
"2015/07/17","55.3900","5885949.0000","55.2300","56.7000","55.0300"
"2015/07/16","54.9800","5433397.0000","55.8800","56.4400","54.9800"
"2015/07/15","55.5000","6025118.0000","54.9200","56.2200","53.9000"
"2015/07/14","55.7300","4486471.0000","55.9600","56.4900","55.2100"
"2015/07/13","56.3900","4241506.0000","56.9100","57.3900","56.1000"
"2015/07/10","55.5100","5922522.0000","54.6900","55.6900","54.6000"
"2015/07/09","53.2600","3435913.0000","53.4600","54.1200","53.0600"
"2015/07/08","52.8200","4619129.0000","53.4400","53.7200","52.2500"
"2015/07/07","54.3100","6626965.0000","53.9900","54.4900","52.5400"
"2015/07/06","53.8500","6368900.0000","52.0500","53.9500","52.0500"
"2015/07/02","51.5000","5318684.0000","51.8800","52.5100","50.9800"
"2015/07/01","51.6900","13075270.0000","54.0500","54.1400","50.1000"
"2015/06/30","53.0100","4621937.0000","53.4000","54.2800","52.9900"
"2015/06/29","52.8100","5255533.0000","53.8500","54.8900","52.5100"
"2015/06/26","54.4800","4117595.0000","55.0900","55.4000","54.1900"
"2015/06/25","54.9400","4176054.0000","54.9000","55.4000","54.3700"
"2015/06/24","54.4600","3973703.0000","55.1200","55.8500","54.3001"
"2015/06/23","55.2300","5349391.0000","55.8400","56.2700","54.7000"
"2015/06/22","54.8000","6785649.0000","54.5800","55.1800","53.8400"
"2015/06/19","53.2500","5656164.0000","52.6400","53.9600","52.4000"
"2015/06/18","52.0100","4268730.0000","51.4300","52.0750","51.0100"
"2015/06/17","51.3200","3712256.0000","51.2000","51.8350","50.6900"
"2015/06/16","51.2300","4766814.0000","52.2500","52.5600","50.8500"
"2015/06/15","52.2500","3199372.0000","52.4900","53.0100","51.8700"
"2015/06/12","52.8700","4098333.0000","52.0000","53.3700","52.0000"
"2015/06/11","52.5000","3370897.0000","52.9100","53.5300","52.3300"
"2015/06/10","52.4200","6405829.0000","52.3200","53.0999","51.4700"
"2015/06/09","52.5800","12211070.0000","50.3500","52.9000","49.8500"
"2015/06/08","51.7300","9230405.0000","53.4800","53.6000","51.0300"
"2015/06/05","54.0900","4858866.0000","54.6200","54.9400","53.8300"
"2015/06/04","54.5700","7130928.0000","55.5000","56.3700","53.9900"
"2015/06/03","55.8700","3666960.0000","56.1900","56.3900","55.3100"
"2015/06/02","55.9500","6719586.0000","55.1200","56.3700","54.3600"
"2015/06/01","56.3100","9486976.0000","54.7600","56.8900","54.0700"
"2015/05/29","54.5900","7295228.0000","53.5600","54.7950","52.8000"
"2015/05/28","53.4900","4948877.0000","53.7000","54.1700","53.2800"
"2015/05/27","53.7000","6443482.0000","52.3700","54.0000","52.2500"
"2015/05/26","51.9200","11235360.0000","54.1000","54.1000","51.6800"
"2015/05/22","53.6900","6738628.0000","54.4200","54.6300","53.1100"
"2015/05/21","54.1300","10720400.0000","54.6000","55.3700","54.0800"
"2015/05/20","54.5400","22698060.0000","60.5700","60.5800","54.2200"
"2015/05/19","60.8100","4842055.0000","62.7400","63.2200","60.7154"
"2015/05/18","62.2500","4207314.0000","61.6300","62.2800","61.3900"
"2015/05/15","61.6000","2803505.0000","62.2100","62.5800","61.4000"
"2015/05/14","61.7500","3722928.0000","61.6000","62.1600","61.1700"
"2015/05/13","61.2300","4511070.0000","62.4500","63.4500","61.0600"
"2015/05/12","61.8600","4354563.0000","62.2500","62.3500","61.4900"
"2015/05/11","62.9500","2719449.0000","62.7000","63.6400","62.1600"
"2015/05/08","62.4400","4828998.0000","62.2400","63.9000","62.0700"
"2015/05/07","62.5200","7858006.0000","59.8100","62.7900","59.8100"
"2015/05/06","59.4400","4304246.0000","59.1100","59.9899","57.7000"
"2015/05/05","59.2300","3616967.0000","59.9100","60.4800","58.9300"
"2015/05/04","60.9200","3762044.0000","61.9400","62.1800","60.5900"
"2015/05/01","61.4000","4488896.0000","60.3400","61.9600","59.9200"
"2015/04/30","59.7400","7179945.0000","59.9000","61.2900","59.3300"
"2015/04/29","59.8700","7502855.0000","61.0000","61.2700","57.9500"
"2015/04/28","61.4200","4211943.0000","61.8000","61.9500","59.9300"
"2015/04/27","61.9800","4915649.0000","62.9400","63.4650","61.7430"
"2015/04/24","63.5100","8820514.0000","63.4400","64.9500","63.4000"
"2015/04/23","62.8000","8683414.0000","62.7400","64.0990","62.3101"
"2015/04/22","64.0200","6282657.0000","63.8000","64.2400","62.9000"
"2015/04/21","63.7000","5715792.0000","62.7000","63.9200","62.0800"
"2015/04/20","62.4000","4736666.0000","62.0000","62.5000","61.0600"
"2015/04/17","61.4900","4090282.0000","61.6900","62.5500","61.4300"
"2015/04/16","62.2000","4452497.0000","60.9500","62.9400","60.7200"
"2015/04/15","60.9900","6009842.0000","61.6500","61.9900","60.3500"
"2015/04/14","60.2500","4807581.0000","60.4900","61.0000","59.6400"
"2015/04/13","61.0100","4809329.0000","60.5700","62.0000","60.4000"
"2015/04/10","61.0500","3730833.0000","61.2900","62.1600","61.0000"
"2015/04/09","61.1600","8904043.0000","62.2600","62.9150","60.5600"
"2015/04/08","60.5500","6791278.0000","59.8500","61.0000","59.7000"
"2015/04/07","59.5700","4869691.0000","60.5800","61.4200","59.2900"
"2015/04/06","60.1200","8067617.0000","60.6400","61.1799","59.4700"
"2015/04/02","61.8800","7557735.0000","64.2400","64.5400","61.7300"
"2015/04/01","64.0100","7427637.0000","65.0600","65.8500","63.7500"
"2015/03/31","67.2500","3272414.0000","67.9500","68.1000","66.7700"
"2015/03/30","68.1900","3393188.0000","68.2500","68.7500","67.5800"
"2015/03/27","67.7500","5119537.0000","65.5100","67.8000","65.5100"
"2015/03/26","64.9700","5993050.0000","64.0000","65.1900","63.0900"
"2015/03/25","65.5600","5417726.0000","67.5500","67.5700","65.2900"
"2015/03/24","67.6300","4271940.0000","67.3300","68.4200","66.8400"
"2015/03/23","67.6100","5257817.0000","69.7700","69.8700","67.5000"
"2015/03/20","69.4500","10440490.0000","69.3900","70.3000","68.8600"
"2015/03/19","70.0900","5531678.0000","68.8300","70.3100","68.1901"
"2015/03/18","68.1000","5661719.0000","69.3200","69.5493","67.5500"
"2015/03/17","69.0900","5052036.0000","68.4600","69.2500","67.6600"
"2015/03/16","67.9200","4279668.0000","68.2200","68.9200","67.4100"
"2015/03/13","67.5700","4762920.0000","68.0200","69.1100","67.4100"
"2015/03/12","67.7400","4361198.0000","66.1900","67.9600","66.0800"
"2015/03/11","65.9700","4881048.0000","65.0500","66.2700","64.7800"
"2015/03/10","64.6100","4077799.0000","65.7700","65.9800","64.3000"
"2015/03/09","66.1500","4611428.0000","66.9000","67.4700","65.8200"
"2015/03/06","66.6700","2370145.0000","67.6600","68.3100","66.5400"
"2015/03/05","67.9200","3902458.0000","69.3000","69.3100","67.3300"
"2015/03/04","68.6700","4579137.0000","68.3700","69.1300","67.5900"
"2015/03/03","69.0000","6007806.0000","66.2000","69.0400","66.0950"
"2015/03/02","66.8100","5052341.0000","66.1400","67.1400","65.9350"
"2015/02/27","65.1800","5818264.0000","67.5100","67.6100","64.7100"
"2015/02/26","67.4200","6010345.0000","69.6300","69.7000","66.3900"
"2015/02/25","68.6900","4409401.0000","70.5600","70.7900","68.6700"
"2015/02/24","70.8900","5181895.0000","67.9500","71.3800","67.2700"
"2015/02/23","68.8400","5116974.0000","69.0300","69.8300","67.9800"
"2015/02/20","68.0100","4697352.0000","66.0900","68.2800","65.5200"
"2015/02/19","66.0900","4804192.0000","68.4500","68.9200","66.0400"
"2015/02/18","66.7200","4443785.0000","65.9000","66.7400","64.5000"
"2015/02/17","64.9300","4445458.0000","66.5000","67.4250","64.7200"
"2015/02/13","66.2300","4363101.0000","66.1100","66.5900","65.3900"
